,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
57,Geraldton,-28.7667,114.6,19.0,88,75,1.54
58,‘Āhuimanu,21.4447,-157.8378,21.33,64,20,1.54
59,Lázaro Cárdenas,17.9583,-102.2,27.71,57,0,4.16
60,Jamestown,42.097,-79.2353,-8.28,67,90,7.2
61,Hermanus,-34.4187,19.2345,18.89,78,7,0.45
62,Conceição do Araguaia,-8.2578,-49.2647,24.72,86,100,2.85
63,Samarkand,39.6542,66.9597,10.0,71,74,2.06
64,Kruisfontein,-34.0033,24.7314,18.33,92,97,0.45
65,Thompson,55.7435,-97.8558,-33.0,62,75,6.17
66,Zambezi,-13.5432,23.1047,21.23,90,100,2.14
67,Castro,-24.7911,-50.0119,23.95,54,0,1.43
68,Sisimiut,66.9395,-53.6735,-4.78,81,0,6.69
69,Hithadhoo,-0.6,73.0833,27.81,70,91,3.64
70,Lumphat,13.4878,106.9816,21.82,74,18,4.0
71,Ola,59.5833,151.2833,-10.33,87,100,10.14
72,Ketchikan,55.3422,-131.6461,-2.6,68,1,4.63
73,Stromness,58.965,-3.296,1.0,64,75,7.2
74,Sørland,67.667,12.6934,1.0,86,40,9.77
75,Maniitsoq,65.4167,-52.9,-2.82,79,0,8.29
76,Sitka,57.0531,-135.33,0.0,43,1,1.24
77,Coquimbo,-29.9533,-71.3436,21.0,56,0,5.66
78,Lebu,-37.6167,-73.65,17.32,76,6,3.46
79,Hambantota,6.1241,81.1185,25.17,81,4,7.46
80,Chokurdakh,70.6333,147.9167,-28.87,87,100,3.68
81,Bredasdorp,-34.5322,20.0403,20.0,60,3,2.57
82,Codrington,-38.2667,141.9667,13.54,70,100,4.56
83,Longyearbyen,78.2186,15.6401,-10.0,67,75,7.2
84,Ocampo,21.65,-101.5,23.24,20,0,6.17
85,Chui,-33.6971,-53.4616,23.02,65,7,4.66
86,Hong Kong,22.2855,114.1577,18.3,84,0,5.5
87,Carnarvon,-24.8667,113.6333,25.0,100,40,5.66
88,Jinchang,38.4953,102.1739,-1.83,72,23,2.32
89,San Matías,-16.3667,-58.4,34.24,31,69,1.6
90,Quatre Cocos,-20.2078,57.7625,26.83,78,75,4.63
91,Casas Grandes,30.3667,-107.95,20.56,14,0,0.89
92,Tuktoyaktuk,69.4541,-133.0374,-32.0,75,75,6.17
93,Lavrentiya,65.5833,-171.0,-23.92,85,0,3.0
94,Quelimane,-17.8786,36.8883,29.0,84,20,1.03
95,Kapaa,22.0752,-159.319,19.89,63,1,4.12
96,Vaini,-21.2,-175.2,26.0,89,75,5.66
97,Atuona,-9.8,-139.0333,26.31,74,24,9.74
98,Ilulissat,69.2167,-51.1,-3.0,36,0,7.72
99,Rusape,-18.5278,32.1284,17.81,94,29,0.82
100,Sioux Lookout,50.1001,-91.917,-26.0,53,20,5.14
101,Touros,-5.1989,-35.4608,31.0,62,40,7.72
102,Raton,36.9034,-104.4391,13.93,4,1,3.6
103,Changji,44.0167,87.3167,-10.0,85,100,1.47
104,Bellingham,48.7595,-122.4882,6.66,65,40,3.6
105,São João da Barra,-21.6403,-41.0511,22.0,88,90,1.03
106,Kieta,-6.2167,155.6333,26.57,77,23,1.63
107,Cartagena,10.3997,-75.5144,31.0,66,20,5.14
108,Kaitangata,-46.2817,169.8464,16.67,89,100,0.89
109,Sarangani,5.4033,125.4636,27.47,79,100,4.32
110,Fairbanks,64.8378,-147.7164,-30.61,76,1,1.2
111,Careiro da Várzea,-3.2003,-59.8119,26.52,83,75,4.63
112,Sémbé,1.6481,14.5806,24.45,70,87,1.47
113,Kupang,-10.1667,123.5833,26.23,82,100,3.73
114,Inisa,7.85,4.3333,32.0,29,88,2.06
115,Clyde River,70.4692,-68.5914,-20.0,84,75,3.6
116,The Valley,18.217,-63.0578,27.49,69,20,7.72
117,Lorengau,-2.0226,147.2712,27.72,78,100,3.02
118,Pedernales,18.0384,-71.744,29.83,50,7,1.93
119,Viedma,-40.8135,-62.9967,20.56,51,90,0.45
120,Karratha,-20.7377,116.8463,25.53,71,1,3.79
121,Matias Barbosa,-21.8692,-43.3194,17.78,94,100,1.34
122,Beira,-19.8436,34.8389,27.89,89,40,0.51
123,Buluang,13.3068,123.3425,24.21,86,100,2.96
124,Yellowknife,62.456,-114.3525,-38.72,67,1,2.68
125,Chauk,20.8833,94.8167,18.22,47,0,1.9
126,Qaanaaq,77.484,-69.3632,-10.96,86,61,2.68
127,Ariquemes,-9.9133,-63.0408,29.66,75,95,1.02
128,Yumen,40.2833,97.2,-2.74,75,83,2.15
129,Nhulunbuy,-12.2333,136.7667,27.0,89,40,3.6
130,Vardø,70.3705,31.1107,-5.0,93,75,12.86
131,East London,-33.0153,27.9116,23.49,69,97,1.17
132,Colares,38.7992,-9.4469,13.32,92,100,12.07
133,Takoradze,4.8845,-1.7554,27.0,85,100,5.61
134,Lagoa,39.05,-27.9833,14.4,74,100,8.72
135,Esperance,-33.8667,121.9,17.0,88,75,5.14
136,Lata,40.1629,-8.3327,11.63,89,100,2.68
137,Acajutla,13.5928,-89.8275,32.0,43,0,1.54
138,Ponta do Sol,32.6667,-17.1,12.53,87,48,2.24
139,Storforshei,66.4043,14.5233,-14.57,85,20,1.54
140,Evensk,61.95,159.2333,-7.96,84,100,15.43
141,Lincoln,40.8,-96.667,-14.85,72,90,5.66
142,Labytnangi,66.6572,66.4183,-25.99,88,100,13.03
143,Maceió,-9.6658,-35.7353,27.0,78,0,5.66
144,Daru,-9.0763,143.2092,25.57,87,63,4.66
145,Nome,64.5011,-165.4064,-22.52,77,1,2.44
146,Vysokogornyy,50.1167,139.15,-24.29,87,100,2.81
147,Tadine,-21.55,167.8833,25.29,82,80,1.33
148,Butaritari,3.0707,172.7902,27.28,80,94,9.07
149,Norman Wells,65.282,-126.8329,-31.0,76,75,1.38
150,Caravelas,-17.7125,-39.2481,25.59,88,100,4.12
151,Sur,22.5667,59.5289,18.2,73,0,2.01
152,Kambove,-10.8764,26.5969,18.11,98,100,2.12
153,Campos dos Goytacazes,-21.75,-41.3,22.0,88,90,1.03
154,Yangi Marg`ilon,40.4272,71.7189,5.0,81,98,3.09
155,Putina,-15.4667,-69.4333,12.84,57,26,4.12
156,Whitehorse,60.7161,-135.0538,-23.0,77,90,1.03
157,Bandarbeyla,9.4942,50.8122,24.3,79,22,8.34
158,Bengkulu,-3.8004,102.2655,24.28,84,100,3.18
159,Khatanga,71.9667,102.5,-34.42,80,0,4.27
160,Talnakh,69.4865,88.3972,-29.56,74,7,1.39
161,Nerchinskiy Zavod,51.3088,119.61,-29.45,87,0,1.15
162,Moengo,5.6167,-54.4,25.35,93,99,2.57
163,Saint Paul Harbor,57.79,-152.4072,-3.0,68,1,2.73
164,Lerwick,60.1545,-1.1494,1.0,60,75,2.06
165,Nayoro,44.3506,142.4578,-19.08,86,0,0.89
166,Pochutla,15.7432,-96.4661,29.03,69,75,4.12
167,Mossamedes,-15.1961,12.1522,22.81,76,100,2.23
168,Chililabombwe,-12.3648,27.8229,18.83,96,100,1.91
169,Auki,-8.7676,160.7034,25.99,84,10,2.45
170,Maputo,-25.9653,32.5892,26.97,78,75,3.09
171,Ayr,55.4627,-4.6339,1.05,69,75,5.14
172,Cap Malheureux,-19.9842,57.6142,26.67,80,87,0.89
173,Mt. Pleasant,32.7941,-79.8626,9.0,76,90,6.17
174,Upernavik,72.7868,-56.1549,-7.51,79,3,1.49
175,Tual,-5.6667,132.75,28.43,80,100,7.94
176,Phalaborwa,-23.943,31.1411,22.0,100,100,0.51
177,Beyneu,45.3167,55.2,-2.35,87,87,6.78
178,Xinqing,48.2333,129.5,-28.32,87,93,1.7
179,Haines Junction,60.7522,-137.5108,-29.0,63,21,0.51
180,Leningradskiy,69.3833,178.4167,-25.73,81,0,2.95
181,Pundaguitan,6.3711,126.1689,26.42,84,100,3.85
182,Klaksvík,62.2266,-6.589,2.0,55,75,4.63
183,Santa Isabel Rio Negro,-0.4139,-65.0192,30.07,74,82,1.39
184,Sept-Îles,50.2001,-66.3821,-5.18,58,5,2.06
185,Harper,4.375,-7.7169,26.52,87,100,2.73
186,Tarakan,3.3,117.6333,26.2,83,100,3.24
187,Mahibadhoo,3.7833,72.9667,27.2,76,2,6.38
188,Weligama,5.9667,80.4167,24.09,87,14,1.44
189,Jiuquan,39.7432,98.5174,-1.9,72,100,1.44
190,Ahipara,-35.1667,173.1667,18.75,73,8,4.28
191,Sinegor'ye,62.0788,150.477,-21.07,87,100,2.84
192,Trairi,-3.2778,-39.2689,28.81,66,70,5.27
193,Tasiilaq,65.6145,-37.6368,-5.0,54,0,2.06
194,Nouadhibou,20.931,-17.0347,19.0,68,0,7.2
195,Bembèrèkè,10.2283,2.6634,27.27,17,48,2.04
196,Saint-François,46.4154,3.9054,4.2,87,90,3.6
197,Bambous Virieux,-20.3428,57.7575,26.84,78,75,4.63
198,Banda Aceh,5.5577,95.3222,26.06,80,46,2.87
199,Manzhouli,49.6,117.4333,-24.13,82,0,1.85
200,Saskylakh,71.9167,114.0833,-38.67,78,28,5.92
201,Kloulklubed,7.0419,134.2556,25.0,94,90,2.57
202,Nanortalik,60.1432,-45.2371,-1.79,89,87,4.12
203,Honiara,-9.4333,159.95,25.75,80,100,1.61
204,Doha,25.2867,51.5333,19.82,77,0,5.14
205,Laas,46.6166,10.7002,2.5,100,90,0.64
206,Ankang,32.68,109.0172,8.51,53,100,1.69
207,Itarema,-2.9248,-39.9167,28.83,69,0,6.85
208,Rivers,50.0308,-100.2403,-28.0,63,1,8.23
209,Ampanihy,-24.7,44.75,24.39,85,2,3.95
210,Assiut,27.181,31.1837,16.0,63,0,3.6
211,Nālūt,30.3333,10.85,17.02,27,0,9.24
212,Ust-Maya,60.4167,134.5333,-36.24,82,100,1.13
213,Labuan,5.2767,115.2417,26.83,89,20,3.6
214,Belyy Yar,53.6039,91.3903,-15.0,85,20,2.39
215,Pisco,-13.7,-76.2167,23.0,83,0,4.12
216,New Norfolk,-42.7826,147.0587,10.03,67,9,0.89
217,Bereket,39.2446,55.5154,11.11,52,100,6.37
218,Buloh Kasap,2.5536,102.764,25.0,88,20,2.57
219,Crixás,-14.5489,-49.9692,21.61,93,100,4.32
220,Flin Flon,54.7682,-101.865,-34.0,56,1,6.17
221,Fountain,38.6822,-104.7008,12.05,6,0,6.17
222,Camacha,33.0833,-16.3333,16.0,88,75,7.2
223,Ajaigarh,24.9,80.2667,12.35,44,0,0.55
224,Pangnirtung,66.1451,-65.7125,0.0,43,20,1.54
225,Tessalit,20.1986,1.0114,18.92,25,98,4.37
226,Shingū,33.7333,135.9833,5.83,75,0,3.33
227,Tokmak,47.2514,35.7058,-3.83,75,100,3.47
228,Sechura,-5.5569,-80.8222,28.67,53,0,7.06
229,Kangaba,11.9333,-8.4167,26.89,18,100,2.45
230,Galveston,29.3669,-94.9669,14.81,62,40,4.12
231,Pevek,69.7008,170.3133,-21.8,86,0,0.75
232,Los Negros,-17.7333,-63.4333,34.0,46,40,5.14
233,Yulara,-25.2406,130.9889,23.0,35,0,3.09
234,Pimentel,-6.8367,-79.9342,26.96,48,0,6.69
235,Opuwo,-18.0607,13.84,24.2,31,64,3.7
236,City of Passi,11.15,122.65,24.03,93,100,3.99
237,Shurugwi,-19.6702,30.0059,17.92,98,100,4.66
238,Cidreira,-30.1811,-50.2056,24.03,62,0,4.47
239,Riyadh,24.6877,46.7219,15.63,51,0,4.12
240,Praia,14.9215,-23.5087,21.0,64,75,9.26
241,Kilindoni,-7.9139,39.6668,28.07,80,100,6.03
242,Moyale,3.5167,39.0584,25.65,37,77,6.11
243,Shelabolikha,53.4131,82.6167,-5.0,68,0,4.0
244,São Filipe,14.8961,-24.4956,21.33,72,100,5.52
245,Dombarovskiy,50.7587,59.5386,-16.63,92,98,5.98
246,Ingham,42.6,-84.3833,-11.45,57,75,5.66
247,Gwembe,-16.4975,27.6069,19.16,100,100,1.14
248,Tautira,-17.7333,-149.15,28.94,58,40,3.09
249,Souillac,-20.5167,57.5167,27.0,78,75,4.63
250,Tynset,62.2759,10.7824,-16.0,78,90,1.03
251,Havøysund,70.9963,24.6622,-4.03,86,75,8.75
252,Ascension,30.2169,-90.9001,14.32,55,40,3.09
253,Hofn,64.2539,-15.2082,2.14,92,100,8.52
254,Henties Bay,-22.116,14.2845,18.33,86,98,1.34
255,Satuba,-9.5633,-35.8244,27.0,78,0,5.66
256,Husavik,66.0449,-17.3389,0.0,74,90,2.76
257,Olafsvik,64.8945,-23.7142,1.09,84,12,7.03
258,Bangassou,4.7413,22.8184,21.75,23,52,0.97
259,Rundu,-17.9333,19.7667,21.73,87,100,2.44
260,Ossora,59.2353,163.0719,-6.09,96,100,16.9
261,São Domingos,-13.3983,-46.3183,19.73,94,100,2.35
262,Channel-Port aux Basques,47.5702,-59.1367,-2.44,90,55,9.96
263,Ilhabela,-23.7781,-45.3581,24.3,66,98,2.17
264,Boromo,11.75,-2.9333,30.47,14,0,3.11
265,Thabazimbi,-24.5917,27.4116,19.44,97,100,0.87
266,Grøa,62.65,8.7167,-5.0,50,0,2.06
267,Macon,39.8667,-88.9668,-14.24,66,40,1.54
268,La Palma,33.8464,-118.0467,16.49,59,1,1.03
269,Severo-Kuril'sk,50.6789,156.125,-7.6,89,95,5.35
270,Russell,32.3502,-85.1999,11.87,50,1,2.57
271,Chake Chake,-5.2459,39.7666,26.29,84,100,3.58
272,Faanui,-16.4833,-151.75,27.21,76,2,5.26
273,Belaya Gora,68.5333,146.4167,-32.44,83,92,1.92
274,Bondowoso,-7.9135,113.8214,23.46,84,100,1.17
275,Sabang,5.8933,95.3214,27.26,80,10,4.38
276,Safi,32.2994,-9.2372,14.62,70,100,2.68
277,Buin,-33.7333,-70.75,25.04,44,0,5.14
278,Morro Bay,35.3658,-120.8499,17.05,24,1,2.39
279,Provideniya,64.3833,-173.3,-20.2,79,60,7.13
280,Half Moon Bay,37.4636,-122.4286,15.33,77,1,4.12
281,Koson,39.0375,65.585,9.0,71,0,1.03
282,Carrollton,32.9537,-96.8903,10.85,50,1,4.63
283,High Rock,26.6208,-78.2833,26.0,83,75,7.2
284,Waddān,29.1614,16.139,23.06,18,100,5.84
285,Dingle,10.9995,122.6711,24.16,92,100,5.03
286,Barrow,71.2906,-156.7887,-31.0,76,20,4.63
287,Kang,-23.6752,22.7876,20.68,85,100,3.6
288,Constitución,-35.3333,-72.4167,18.81,70,3,3.94
289,Lompoc,34.6391,-120.4579,16.91,51,1,2.37
290,Hamina,60.5697,27.1979,-7.0,86,90,3.6
291,Malmesbury,-33.4608,18.7271,18.92,68,0,8.23
292,Svetlaya,46.5389,138.3297,-16.57,83,100,5.39
293,Banamba,13.55,-7.45,24.53,19,100,4.26
294,Anloga,5.7947,0.8973,29.0,84,20,6.17
295,Narsaq,60.9167,-46.05,3.0,30,51,21.61
296,Nelson Bay,-32.7167,152.15,20.21,78,90,4.63
297,Bowen,-20.0167,148.2333,25.0,94,100,2.11
298,La Ronge,55.1001,-105.2842,-34.0,50,60,2.57
299,Kharp,66.8014,65.8081,-19.52,90,100,6.33
300,Antofagasta,-23.65,-70.4,22.0,60,20,5.66
301,Port Blair,11.6667,92.75,25.57,81,1,4.47
302,Departamento de Maldonado,-34.6667,-54.9167,26.0,61,20,6.17
303,Itoman,26.1247,127.6694,14.08,67,20,3.09
304,Pangody,65.85,74.4859,-18.13,92,100,8.97
305,Lazurne,46.084,32.5295,-5.0,86,75,6.0
306,Panna,24.7167,80.2,12.06,43,0,0.26
307,Pocrí,8.2667,-80.55,29.0,74,20,5.14
308,Salalah,17.0151,54.0924,23.0,68,75,2.57
309,Manokwari,-0.8667,134.0833,25.86,79,100,1.38
310,Nueva Guinea,11.6876,-84.4562,28.07,65,17,6.15
311,La Rioja,-29.4111,-66.8507,32.45,31,0,2.85
312,Pasni,25.2631,63.471,19.25,55,0,3.51
313,Kenora,49.8167,-94.4337,-27.89,57,1,5.66
314,Miyako,39.6367,141.9525,-4.28,85,0,5.63
315,Jablah,35.3614,35.9256,13.0,82,20,2.06
316,Bhainsdehi,21.6467,77.6325,12.61,38,30,1.21
317,Mogadishu,2.0371,45.3438,25.51,79,4,10.59
318,Cabo San Lucas,22.8909,-109.9124,22.91,68,40,3.09
319,Halifax,44.6453,-63.5724,-1.28,51,100,2.57
320,Saquarema,-22.92,-42.5103,23.0,94,75,1.54
321,Progreso,21.2833,-89.6667,31.44,58,75,5.73
322,Carutapera,-1.195,-46.02,28.45,72,3,4.06
323,Manacapuru,-3.2997,-60.6206,26.0,89,40,3.6
324,Aswān,24.0934,32.907,18.04,44,0,5.85
325,Natá,8.3333,-80.5167,29.0,74,20,5.14
326,Mogzon,51.7435,111.9606,-18.94,91,24,1.4
327,Namatanai,-3.6667,152.4333,26.71,80,100,1.78
328,Majene,-3.5403,118.9707,25.31,85,100,1.3
329,Hasaki,35.7333,140.8333,-0.72,80,20,1.03
330,Najrān,17.4924,44.1277,19.0,37,40,4.12
331,Ouro Preto do Oeste,-10.7481,-62.2158,27.4,86,81,1.93
332,Ilebo,-4.3167,20.5833,22.98,83,98,0.74
333,Hūn,29.1268,15.9477,23.26,17,100,6.12
334,Mahbūbābād,17.6167,80.0167,17.66,64,59,1.81
335,Tiarei,-17.5333,-149.3333,28.94,58,40,3.09
336,Moanda,-1.5575,13.2178,22.84,87,3,1.24
337,Markova,48.6758,24.4138,-5.13,97,100,3.73
338,Lakes Entrance,-37.8811,147.981,12.22,75,7,1.79
339,Champerico,14.3,-91.9167,32.0,48,20,3.09
340,San Antonio,29.4241,-98.4936,18.54,36,1,4.12
341,Pucallpa,-8.3791,-74.5539,33.0,58,75,2.57
342,Novozybkov,52.5396,31.9275,-15.0,85,0,3.0
343,Nemuro,43.3236,145.575,-10.12,86,0,4.76
344,La Libertad,-2.2333,-80.9,28.0,74,0,3.09
345,Verāval,20.9,70.3667,21.44,48,0,2.57
346,Sotik Post,-0.7813,35.3416,14.57,94,100,1.37
347,Katsuura,35.1333,140.3,6.58,46,75,1.54
348,Kutum,14.2,24.6667,13.08,34,17,3.56
349,Shakawe,-18.3667,21.85,21.85,87,100,2.02
350,Agirish,61.9247,63.0231,-25.85,89,100,4.03
351,Røros,62.5747,11.3842,-16.0,78,90,1.03
352,Arrondissement d'Issoudun,47.0,1.8333,3.05,93,90,4.12
353,San Patricio,28.017,-97.5169,21.59,43,20,7.2
354,Vrangel',42.7297,133.0839,-13.24,87,1,7.53
355,Porto Santo,33.072,-16.3415,16.0,88,75,7.2
356,Port Hardy,50.6996,-127.4199,2.62,93,75,3.09
357,Sorata,-15.7667,-68.6333,13.3,71,64,4.24
358,Adelaide,-34.9333,138.6,13.48,76,0,3.6
359,Wanning,18.8003,110.3967,20.16,90,44,1.81
360,Orange Cove,36.6244,-119.3137,16.07,72,1,1.1
361,Port Hedland,-20.3167,118.5667,25.0,78,76,3.6
362,Gizo Government Station,-8.103,156.8419,28.12,79,63,5.04
363,Inhambane,-23.865,35.3833,27.88,69,20,4.21
364,Cayenne,4.9333,-52.3333,28.0,78,75,7.72
365,Hutchinson,38.0608,-97.9298,-9.0,79,90,4.63
366,Waipawa,-41.4122,175.5153,17.69,82,75,8.75
367,Kourou,5.1552,-52.6478,28.0,78,75,7.72
368,Mandalgovi,45.7625,106.2708,-10.96,81,0,4.47
369,Sylvan Lake,52.3168,-114.0853,-26.53,76,1,4.12
370,Benalla,-36.55,145.9833,10.34,76,37,3.09
371,Kiruna,67.8557,20.2251,-8.0,93,90,1.03
372,Isla Mujeres,21.2311,-86.731,28.66,74,75,7.72
373,Jūnāgarh,19.8667,82.9333,14.69,43,45,0.53
374,Kirakira,-10.4544,161.9205,26.52,78,37,2.28
375,Saýat,38.7839,63.8803,9.0,87,0,1.03
376,Bursa,40.1667,29.0833,9.0,93,0,2.57
377,Mīrābād,30.4362,61.8383,12.55,32,78,0.79
378,Prince Rupert,54.3161,-130.3201,0.62,74,1,4.12
379,Petropavlovka,50.6114,105.3196,-18.37,88,36,1.05
380,Leira,43.1167,-8.4,8.64,92,100,2.25
381,Torbat-e Jām,35.244,60.6225,11.37,38,0,0.86
382,Kaura Namoda,12.5898,6.5779,23.77,17,12,4.29
383,Tamasopo,21.9333,-99.4833,20.65,64,45,3.04
384,Dauphin,51.1494,-100.0502,-28.0,57,1,8.75
385,Mariental,-24.6333,17.9667,28.74,15,0,4.18
386,Numata,36.6333,139.05,-0.71,67,40,3.58
387,Buala,-8.145,159.5921,26.84,81,39,2.37
388,Chaozhou,23.6651,116.6379,17.0,88,75,2.0
389,Mayo,38.8876,-76.5119,3.05,93,90,3.09
390,Kushiro,42.975,144.3747,-12.98,89,70,1.69
391,Snyder,32.7179,-100.9176,20.0,17,1,8.23
392,La Romana,18.4273,-68.9728,31.0,62,40,6.17
393,Noyabrsk,63.1994,75.4507,-11.47,95,99,9.65
394,Tshikapa,-6.4167,20.8,22.91,83,16,0.79
395,Grindavik,63.8424,-22.4338,1.0,69,0,6.69
396,Karligan,14.975,122.0456,25.1,86,8,6.8
397,Pestravka,52.405,49.9583,-22.53,88,24,5.38
398,High Level,58.5169,-117.136,-32.0,75,75,1.54
399,Jertih,5.7336,102.4897,23.95,94,20,1.54
400,Sol'-Iletsk,51.1631,54.9918,-22.63,90,100,4.79
401,Sedalia,38.7045,-93.2283,-12.5,66,90,4.12
402,Marabu,4.4148,114.0089,25.0,100,40,1.03
403,Karaton,-6.3424,106.1045,25.42,94,75,1.03
404,Hokitika,-42.7167,170.9667,15.97,74,40,2.55
405,Simpang,-1.2667,104.0833,24.59,88,100,1.8
406,Chlumec nad Cidlinou,50.1544,15.4603,-5.0,80,90,5.14
407,Saint-Augustin,51.226,-58.6502,-2.94,92,13,7.96
408,Hommelvik,63.4108,10.7942,-11.25,92,40,3.6
409,Saint-Joseph,-21.3667,55.6167,23.83,74,90,2.06
410,Katobu,-4.9408,122.5276,24.16,93,88,0.31
411,Tello,3.0669,-75.1378,32.6,39,41,0.58
412,Kyren,51.6828,102.1408,-9.36,81,50,1.25
413,Fort Thomas,39.0751,-84.4472,-5.51,33,1,4.12
414,Muravlenko,63.7898,74.523,-9.29,95,97,7.55
415,Ugoofaaru,5.6667,73.0,27.42,74,17,4.2
416,Nara,34.6851,135.8049,5.08,75,42,3.15
417,Dwārka,22.2394,68.9678,20.76,51,0,5.3
418,Sinnamary,5.3833,-52.95,25.89,85,100,6.41
419,Yanam,16.7333,82.2167,20.7,85,67,1.56
420,Ambilobe,-13.2,49.05,23.9,91,100,0.84
421,Zhigansk,66.7697,123.3711,-35.63,79,21,4.2
422,Qaqortoq,60.7167,-46.0333,3.0,30,73,21.61
423,Qinhuangdao,39.9317,119.5883,-5.51,82,0,1.33
424,Margate,51.3813,1.3862,-0.88,85,100,1.79
425,Kinchil,20.9167,-89.95,31.44,58,75,2.5
426,Buta,2.7858,24.73,20.95,37,100,0.29
427,Betsiamites,48.9413,-68.646,-6.0,58,1,1.03
428,Marawi,7.9986,124.2928,23.89,96,100,0.89
429,Tegul'det,57.3064,88.1667,-7.51,95,73,5.19
430,Surenavan,39.75,44.8,-1.0,86,0,0.34
431,Sorong,-0.8833,131.25,25.92,86,79,2.18
432,Broken Hill,-31.95,141.4333,15.0,55,0,2.06
433,Georgiyevka,43.0369,74.7114,4.0,81,100,2.0
434,Grand Gaube,-20.0064,57.6608,26.67,80,87,0.89
435,College,64.8569,-147.8028,-30.65,76,20,2.06
436,Alyangula,-13.8483,136.4192,27.0,89,75,4.12
437,Kattivākkam,13.2167,80.3167,22.0,88,100,1.03
438,Fortuna,40.5982,-124.1573,10.88,81,20,3.52
439,Głubczyce,50.2009,17.8286,-6.64,100,100,2.68
440,Fare,-16.7,-151.0167,27.25,75,62,5.23
441,Ekhabi,53.5102,142.9671,-12.62,94,100,11.76
442,Sala Consilina,40.3912,15.5989,9.97,90,95,1.79
443,Poum,-20.2333,164.0167,26.23,72,100,1.01
444,Uíge,-7.6087,15.0613,20.19,94,100,0.89
445,Rio Grande,-32.035,-52.0986,25.77,61,20,3.6
446,Thinadhoo,0.5333,72.9333,27.69,73,48,4.05
447,Kimbe,-5.5502,150.1429,24.97,84,18,0.99
